dataset,method,region_def,metric,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,primary
Breast cancer (Low),MDS,gt_class,trustworthiness,2,0.020749925708302086,1.0,0.5,1.0,True
Breast cancer (Low),MDS,gt_class,continuity,2,0.021497889696101835,1.0,0.5,1.0,True
Breast cancer (Low),MDS,gt_class,mrre_false,2,0.022066438501890495,0.0,0.5,-1.0,False
Breast cancer (Low),MDS,gt_class,mrre_missing,2,0.018113197698087002,0.0,0.5,-1.0,False
Breast cancer (Low),MDS,gt_class,stress,2,-0.04713913750184753,1.0,0.5,1.0,False
Breast cancer (Low),MDS,hier_leaf,trustworthiness,5,0.08888888888888857,1.0,0.0625,1.0,True
Breast cancer (Low),MDS,hier_leaf,continuity,5,0.06405228758169945,1.0,0.0625,1.0,True
Breast cancer (Low),MDS,hier_leaf,mrre_false,5,0.11312454212180778,0.0,0.0625,-1.0,False
Breast cancer (Low),MDS,hier_leaf,mrre_missing,5,0.06759748543127131,0.0,0.0625,-1.0,False
Breast cancer (Low),MDS,hier_leaf,stress,5,-0.1575628398603003,1.0,0.0625,1.0,False
Breast cancer (Low),t-SNE,gt_class,trustworthiness,2,0.012983229601327029,1.0,0.5,1.0,True
Breast cancer (Low),t-SNE,gt_class,continuity,2,0.01948654256153004,1.0,0.5,1.0,True
Breast cancer (Low),t-SNE,gt_class,mrre_false,2,0.01026150072950277,0.0,0.5,-1.0,False
Breast cancer (Low),t-SNE,gt_class,mrre_missing,2,0.014507173756703351,0.0,0.5,-1.0,False
Breast cancer (Low),t-SNE,gt_class,stress,2,-0.4242302377786913,1.0,0.5,1.0,False
Breast cancer (Low),t-SNE,hier_leaf,trustworthiness,6,-0.09616013071895413,0.3333333333333333,0.15625,-0.3333333333333333,True
Breast cancer (Low),t-SNE,hier_leaf,continuity,6,-0.11983911513323287,0.3333333333333333,0.15625,-0.3333333333333333,True
Breast cancer (Low),t-SNE,hier_leaf,mrre_false,6,-0.16032065928748168,0.8333333333333334,0.09375,0.6666666666666666,False
Breast cancer (Low),t-SNE,hier_leaf,mrre_missing,6,-0.19605446372456337,0.6666666666666666,0.15625,0.3333333333333333,False
Breast cancer (Low),t-SNE,hier_leaf,stress,6,18.6220709521058,0.0,0.03125,-1.0,False
Concentric rings (Low),MDS,gt_class,trustworthiness,3,-4.842615011990681e-06,0.0,0.5,-1.0,True
Concentric rings (Low),MDS,gt_class,continuity,3,-4.842615011990681e-06,0.0,0.5,-1.0,True
Concentric rings (Low),MDS,gt_class,mrre_false,3,-0.0001237845347580313,0.6666666666666666,1.0,0.3333333333333333,False
Concentric rings (Low),MDS,gt_class,mrre_missing,3,-0.000124950139606117,0.6666666666666666,1.0,0.3333333333333333,False
Concentric rings (Low),MDS,gt_class,stress,3,0.0002876276016517307,0.3333333333333333,1.0,-0.3333333333333333,False
Concentric rings (Low),MDS,hier_leaf,trustworthiness,7,0.0,0.2857142857142857,0.75,0.3333333333333333,True
Concentric rings (Low),MDS,hier_leaf,continuity,7,0.0,0.2857142857142857,0.75,0.3333333333333333,True
Concentric rings (Low),MDS,hier_leaf,mrre_false,7,-0.0007901933995072552,0.8571428571428571,0.296875,0.7142857142857143,False
Concentric rings (Low),MDS,hier_leaf,mrre_missing,7,-0.0007810947515065614,0.8571428571428571,0.296875,0.7142857142857143,False
Concentric rings (Low),MDS,hier_leaf,stress,7,0.001152521483519376,0.14285714285714285,0.296875,-0.7142857142857143,False
Concentric rings (Low),t-SNE,gt_class,trustworthiness,3,0.0027748184019371624,0.6666666666666666,0.5,0.3333333333333333,True
Concentric rings (Low),t-SNE,gt_class,continuity,3,0.03465859564164653,0.6666666666666666,0.5,0.3333333333333333,True
Concentric rings (Low),t-SNE,gt_class,mrre_false,3,-0.000251079914277863,0.6666666666666666,0.75,0.3333333333333333,False
Concentric rings (Low),t-SNE,gt_class,mrre_missing,3,0.0012645011366121395,0.3333333333333333,0.75,-0.3333333333333333,False
Concentric rings (Low),t-SNE,gt_class,stress,3,-1.2726246290617151,0.6666666666666666,1.0,0.3333333333333333,False
Concentric rings (Low),t-SNE,hier_leaf,trustworthiness,7,-0.03657219973009462,0.0,0.015625,-1.0,True
Concentric rings (Low),t-SNE,hier_leaf,continuity,7,-0.0321187584345477,0.0,0.015625,-1.0,True
Concentric rings (Low),t-SNE,hier_leaf,mrre_false,7,-0.11310115897048689,1.0,0.015625,1.0,False
Concentric rings (Low),t-SNE,hier_leaf,mrre_missing,7,-0.15963535784764105,1.0,0.015625,1.0,False
Concentric rings (Low),t-SNE,hier_leaf,stress,7,113.22291777776685,0.0,0.015625,-1.0,False
